lon,lat,mag,mesh_code
142.0625,45.125,10.67,674250
142.5625,45.0417,10,674244
142.4375,45.0417,10.33,674243
142.3125,45.0417,10.83,674242
142.1875,45.0417,11,674241
142.0625,45.0417,10.67,674240
142.5625,44.9583,10.17,674234
142.4375,44.9583,10.5,674233
142.3125,44.9583,11.17,674232
142.1875,44.9583,11.17,674231
142.0625,44.9583,10.5,674230
142.6875,44.875,10.33,674225
142.5625,44.875,10.5,674224
142.4375,44.875,10.83,674223
142.3125,44.875,11.17,674222
142.1875,44.875,11.17,674221
142.0625,44.875,10.33,674220
142.8125,44.7917,9.83,674216
142.6875,44.7917,10.17,674215
142.5625,44.7917,10.5,674214
142.4375,44.7917,10.67,674213
142.3125,44.7917,11,674212
142.1875,44.7917,10.83,674211
142.0625,44.7917,10,674210
142.8125,44.7083,9.67,674206
142.6875,44.7083,9.83,674205
142.5625,44.7083,10.33,674204
142.4375,44.7083,10.5,674203
142.3125,44.7083,10.83,674202
142.1875,44.7083,10.67,674201
142.0625,44.7083,9.83,674200
141.9375,45.2917,10.33,674177
141.8125,45.2917,10.5,674176
141.6875,45.2917,10.67,674175
141.5625,45.2917,10.67,674174
141.1875,45.2917,10,674171
141.0625,45.2917,9.67,674170
141.9375,45.2083,10.5,674167
141.8125,45.2083,10.5,674166
141.6875,45.2083,10.67,674165
141.5625,45.2083,10.67,674164
141.3125,45.2083,10.5,674162
141.1875,45.2083,10.17,674161
141.9375,45.125,10.5,674157
141.8125,45.125,10.33,674156
141.6875,45.125,10.5,674155
141.5625,45.125,10.5,674154
141.3125,45.125,10.33,674152
141.1875,45.125,10.17,674151
141.9375,45.0417,10.33,674147
141.8125,45.0417,10.33,674146
141.6875,45.0417,10.33,674145
141.9375,44.9583,10.17,674137
141.8125,44.9583,10.17,674136
141.6875,44.9583,10.33,674135
141.9375,44.875,9.83,674127
141.8125,44.875,10,674126
141.6875,44.875,10.33,674125
141.9375,44.7917,9.67,674117
141.8125,44.7917,10,674116
141.9375,44.7083,9.67,674107
141.8125,44.7083,10,674106
140.9375,45.2917,9.5,674077
147.3125,44.625,8.67,664772
147.1875,44.625,8.83,664771
147.0625,44.625,8.83,664770
147.1875,44.5417,8.67,664761
147.0625,44.5417,8.83,664760
147.0625,44.4583,8.67,664750
146.9375,44.625,8.83,664677
146.9375,44.5417,8.83,664667
146.1875,44.5417,9,664661
146.0625,44.5417,9,664660
146.9375,44.4583,8.83,664657
146.8125,44.4583,8.83,664656
146.5625,44.4583,8.83,664654
146.4375,44.4583,8.83,664653
146.3125,44.4583,9,664652
146.1875,44.4583,9,664651
146.0625,44.4583,9,664650
146.5625,44.375,8.83,664644
146.4375,44.375,8.83,664643
146.3125,44.375,8.83,664642
146.1875,44.375,9,664641
146.0625,44.375,9,664640
146.3125,44.2917,8.83,664632
146.1875,44.2917,9,664631
146.0625,44.2917,9,664630
146.0625,44.2083,9,664620
145.9375,44.375,9,664547
145.3125,44.375,9,664542
145.9375,44.2917,9,664537
145.3125,44.2917,9,664532
145.1875,44.2917,9,664531
145.9375,44.2083,9,664527
145.8125,44.2083,9,664526
145.3125,44.2083,9,664522
145.1875,44.2083,9,664521
145.9375,44.125,9,664517
145.8125,44.125,9,664516
145.6875,44.125,9,664515
145.3125,44.125,9,664512
145.1875,44.125,9,664511
145.0625,44.125,8.83,664510
145.9375,44.0417,9,664507
145.8125,44.0417,9,664506
145.6875,44.0417,9,664505
145.1875,44.0417,9,664501
145.0625,44.0417,9,664500
144.3125,44.125,9,664412
144.1875,44.125,9,664411
144.0625,44.125,9.17,664410
144.9375,44.0417,8.83,664407
144.3125,44.0417,9,664402
144.1875,44.0417,9,664401
144.0625,44.0417,9.17,664400
143.0625,44.5417,10.17,664360
143.1875,44.4583,9.83,664351
143.0625,44.4583,10,664350
143.4375,44.375,9.83,664343
143.3125,44.375,9.83,664342
143.1875,44.375,9.83,664341
143.0625,44.375,9.83,664340
143.5625,44.2917,9.83,664334
143.4375,44.2917,9.83,664333
143.3125,44.2917,9.83,664332
143.1875,44.2917,9.83,664331
143.0625,44.2917,9.83,664330
143.8125,44.2083,9.5,664326
143.6875,44.2083,9.67,664325
143.5625,44.2083,9.67,664324
143.4375,44.2083,9.67,664323
143.3125,44.2083,9.67,664322
143.1875,44.2083,9.83,664321
143.0625,44.2083,9.83,664320
143.9375,44.125,9.33,664317
143.8125,44.125,9.5,664316
143.6875,44.125,9.5,664315
143.5625,44.125,9.5,664314
143.4375,44.125,9.5,664313
143.3125,44.125,9.67,664312
143.1875,44.125,9.67,664311
143.0625,44.125,9.83,664310
143.9375,44.0417,9.33,664307
143.8125,44.0417,9.5,664306
143.6875,44.0417,9.5,664305
143.5625,44.0417,9.5,664304
143.4375,44.0417,9.5,664303
143.3125,44.0417,9.67,664302
143.1875,44.0417,9.67,664301
143.0625,44.0417,9.67,664300
142.9375,44.625,10,664277
142.8125,44.625,9.83,664276
142.6875,44.625,9.83,664275
142.5625,44.625,10.17,664274
142.4375,44.625,10.67,664273
142.3125,44.625,11,664272
142.1875,44.625,10.83,664271
142.0625,44.625,10.17,664270
142.9375,44.5417,10.17,664267
142.8125,44.5417,10,664266
142.6875,44.5417,10,664265
142.5625,44.5417,10.17,664264
142.4375,44.5417,10.5,664263
142.3125,44.5417,11,664262
142.1875,44.5417,11,664261
142.0625,44.5417,10.33,664260
142.9375,44.4583,10,664257
